MERIZ_CODE	SEX	INTOC	PRONO_l	PRONO_w	ELYT	STER	FEMU	LOC	EXP	Dim1	Dim2	Dim3	Dim4	Dim5	Q	Pgi	Pyru	D	S	NBpoint	PathLength	S2	TE	TS	DC	SDDC	muL	scale
PELIS_ANPA_033	F	0.773	1.152	1.529	3.286	0.568	1.391	PELIS	A	0.365059704	0.635550989	0.8542132569	0.130504131	0.365653911	80.9343065693431	49.0461049284579	1.25985971232839	1.11739554801264	3.9157617792929	70	3.2320148857327	3.2574824423155	3.5134937286772	0.268850401906905	768.08461653778	678.070111164051	0.0468407954454014	5
PELIS_ANPA_034	M	0.743	1.03	1.405	3.136	0.518	1.357	PELIS	A	-1.885208855	0.182723634	0.3069805926	-0.138364839	-0.185226350	104.175182481752	66.9316375198728	0.521629957149486	1.0323901970051	2.2080862276801	404	19.8475174860888	1.76647198044879	12.5131555866382	0.130007887626689	331.073336070733	494.811172993577	0.0492494230424039	5
PELIS_ANPA_035	F	0.77	1.107	1.53	3.458	0.536	1.505	PELIS	A	1.015577082	0.335803501	-0.7946025991	0.374271161	-0.157230603	127.766423357664	24.0858505564388	0.795218210103988	1.12786147192892	4.22808093951145	403	19.2488394269995	3.28156207015318	3.3746627415962	0.0965342057806242	719.195066281088	865.449431519202	0.0478826851417898	5
PELIS_ANPA_036	F	0.782	1.198	1.462	3.43	0.439	1.408	PELIS	A	0.389831085	-1.142918541	-0.0457759006	0.675145375	1.329155776	102.985	42.4483306836248	0.742159993449603	1.08537889016212	3.17076850275649	182	8.81585169203188	2.51059788329775	6.01297646476317	0.455196627092259	528.315508752035	665.137803581894	0.0487063629394026	5
PELIS_ANPA_037	F	0.794	1.023	1.509	3.434	0.53	1.454	PELIS	A	0.367966864	0.311419436	-0.8619009221	-0.729676727	-0.298502611	93.8978102189781	14.1494435612083	0.708971314719288	1.12119553562554	4.15700263458861	118	5.57470239233877	3.25234508335838	3.46359399049547	0.568178124527895	735.000757165116	817.67444666872	0.0476470289943485	5
PELIS_ANPA_038	F	0.766	1.096	1.45	3.201	0.564	1.354	PELIS	A	-0.835739821	0.690141136	0.8471752178	-0.080215411	0.196260371	182.832116788321	85.4531001589825	0.710499740713448	1.04693891151433	2.63266606214476	487	23.7681166630456	2.11815316333097	8.61365725678624	0.0796709393694346	467.908163033381	529.959722533012	0.0489055898416575	5
PELIS_ANPA_039	M	0.772	1.192	1.602	3.495	0.579	1.482	PELIS	A	1.937488479	0.834121564	-0.0093991018	0.570729844	0.423553833	158.890510948905	46.74546782	0.803952072927755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PELIS_ANPA_040	M	0.733	1.149	1.455	3.09	0.519	1.4	PELIS	A	-0.953616761	-0.074637564	0.9909738771	0.973872906	-0.069568858	103.007299270073	NA	NA	1.05238414235523	3.09478165533789	132	6.33219753359667	2.51851169113666	6.02070801691301	0.540894450374592	571.004153649234	595.237106898975	0.0483373857526463	5
PELIS_ANPA_041	F	0.834	1.062	1.507	3.234	0.505	1.496	PELIS	A	0.700290857	-0.563376844	0.0069782344	-0.441312863	-1.109361994	101.346954	70.4292527821939	0.673162477141843	1.10284881831304	3.5138123303441	219	10.4446942934212	2.79360404783206	4.84323118650218	0.569885305655982	614.462354294296	704.445783070305	0.0479114417129414	5
PELIS_ANPA_042	F	0.739	1.116	1.404	3.389	0.542	1.377	PELIS	A	-0.805445908	0.688376459	-0.1603766908	0.559283061	0.905370351	60.3795620437956	22.0190779014308	NA	1.02683573254536	1.77953674182294	519	25.5939711613743	1.46919981992586	18.2515708276504	0.0994399946943828	303.239171401807	372.131569022352	0.0494092107362437	5
